TEMP_1,PPM_1,LEVEL_1,TEMP_2,PPM_2,LEVEL_2,TEMP_3,PPM_3,LEVEL_3,TEMP_4,PPM_4,LEVEL_4,TEMP_5,PPM_5,LEVEL_5,gas_leak,temp_overshoot,tank_leak
26.0,1.0,9.6,26.0,1.0,9.6,26.0,1.0,9.6,26.0,1.0,9.6,26.0,1.0,9.6,1,0,0
26.0,1.0,9.6,26.0,1.0,9.6,26.0,1.0,9.6,26.0,1.0,9.6,26.0,1.0,9.6,1,0,0
26.0,1.0,9.6,26.0,1.0,9.6,26.0,1.0,9.6,26.0,1.0,9.6,26.0,1.0,9.6,1,0,0
26.0,1.0,9.6,26.0,1.0,9.6,26.0,1.0,9.6,26.0,1.0,9.6,26.0,1.0,9.6,1,0,0
26.0,1.0,9.6,26.0,1.0,9.6,26.0,1.0,9.6,26.0,1.0,9.6,26.0,1.0,9.6,1,0,0
26.0,1.0,9.6,26.0,1.0,9.6,26.0,1.0,9.6,26.0,1.0,9.6,26.0,1.0,9.6,1,0,0
26.0,1.0,9.6,26.0,1.0,9.6,26.0,1.0,9.6,26.0,1.0,9.6,26.0,1.0,9.6,1,0,0
26.0,1.0,9.6,26.0,1.0,9.6,26.0,1.0,9.6,26.0,1.0,9.6,26.0,1.0,9.6,1,0,0
26.0,1.0,9.6,26.0,1.0,9.6,26.0,1.0,9.6,26.0,1.0,9.6,26.0,1.0,9.6,1,0,0
26.0,1.0,9.6,26.0,1.0,9.6,26.0,1.0,9.6,26.0,1.0,9.6,26.0,1.0,9.6,1,0,0
26.0,1.0,9.6,26.0,1.0,9.6,26.0,1.0,9.6,26.0,1.0,9.6,26.0,1.0,9.6,1,0,0
26.0,1.0,9.6,26.0,1.0,9.6,26.0,1.0,9.6,26.0,1.0,9.6,26.0,1.0,9.6,1,0,0
26.0,1.0,9.6,26.0,1.0,9.6,26.0,1.0,9.6,26.0,1.0,9.6,26.0,1.0,9.6,1,0,0
26.0,1.0,9.6,26.0,1.0,9.6,26.0,1.0,9.6,26.0,1.0,9.6,27.0,1.0,9.6,1,0,0
26.0,1.0,9.6,26.0,1.0,9.6,26.0,1.0,9.6,27.0,1.0,9.6,28.0,1.0,9.6,1,0,0
26.0,1.0,9.6,26.0,1.0,9.6,27.0,1.0,9.6,28.0,1.0,9.6,28.0,1.0,9.6,1,0,0
26.0,1.0,9.6,27.0,1.0,9.6,28.0,1.0,9.6,28.0,1.0,9.6,29.0,1.0,9.6,1,0,0
27.0,1.0,9.6,28.0,1.0,9.6,28.0,1.0,9.6,29.0,1.0,9.6,30.0,1.0,9.6,1,0,0
28.0,1.0,9.6,28.0,1.0,9.6,29.0,1.0,9.6,30.0,1.0,9.6,31.0,1.0,9.6,1,0,0
28.0,1.0,9.6,29.0,1.0,9.6,30.0,1.0,9.6,31.0,1.0,9.6,32.0,1.0,9.6,1,0,0
29.0,1.0,9.6,30.0,1.0,9.6,31.0,1.0,9.6,32.0,1.0,9.6,32.0,1.0,9.6,1,0,0
30.0,1.0,9.6,31.0,1.0,9.6,32.0,1.0,9.6,32.0,1.0,9.6,33.0,1.0,9.6,1,0,0
31.0,1.0,9.6,32.0,1.0,9.6,32.0,1.0,9.6,33.0,1.0,9.6,34.0,1.0,9.6,1,0,0
32.0,1.0,9.6,32.0,1.0,9.6,33.0,1.0,9.6,34.0,1.0,9.6,34.0,1.0,9.6,1,0,0
